MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,FUELCONSUMPTION,CO2EMISSIONS
2014,ACURA,ILX,COMPACT,2,6.7,196
2014,ACURA,ILX,COMPACT,2.4,7.7,221
2014,ACURA,ILX HYBRID,COMPACT,1.5,5.8,136
2014,ACURA,MDX 4WD,SUV - SMALL,3.5,9.1,255
2014,ACURA,RDX AWD,SUV - SMALL,3.5,8.7,244
2014,ACURA,RLX,MID-SIZE,3.5,7.7,230
2014,ACURA,TL,MID-SIZE,3.5,8.1,232
2014,ACURA,TL AWD,MID-SIZE,3.7,9,255
2014,ACURA,TL AWD,MID-SIZE,3.7,9.5,267
2014,ACURA,TSX,COMPACT,2.4,7.5,212
2014,ACURA,TSX,COMPACT,2.4,8.1,225
2014,ACURA,TSX,COMPACT,3.5,8.3,239
2014,ASTON MARTIN,DB9,MINICOMPACT,5.9,12.6,359
2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12.6,359
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,11.3,338
2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,12.2,354
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,11.3,338
2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,12.2,354
2014,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12.6,359
2014,AUDI,A4,COMPACT,2,7.4,202
2014,AUDI,A4 QUATTRO,COMPACT,2,8.1,230
2014,AUDI,A4 QUATTRO,COMPACT,2,7.5,214
2014,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,8.1,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,8.1,230
2014,AUDI,A5 QUATTRO,SUBCOMPACT,2,7.5,214
2014,AUDI,A6 QUATTRO,MID-SIZE,2,8.1,235
2014,AUDI,A6 QUATTRO,MID-SIZE,3,8.6,251
2014,AUDI,A6 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3,6.4,224
2014,AUDI,A7 QUATTRO,MID-SIZE,3,8.8,258
2014,AUDI,A7 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3,6.4,224
2014,AUDI,A8,MID-SIZE,3,8.8,258
2014,AUDI,A8,MID-SIZE,4,8.6,260
2014,AUDI,A8 TDI CLEAN DIESEL,MID-SIZE,3,6.4,227
2014,AUDI,A8L,FULL-SIZE,3,8.8,258
2014,AUDI,A8L,FULL-SIZE,4,9.7,288
2014,AUDI,A8L,FULL-SIZE,6.3,12.6,361
2014,AUDI,A8L TDI CLEAN DIESEL,FULL-SIZE,3,6.5,230
2014,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,8.8,242
2014,AUDI,Q5,SUV - SMALL,2,8.5,239
2014,AUDI,Q5,SUV - SMALL,3,9.2,258
2014,AUDI,Q5 HYBRID,SUV - SMALL,2,8.3,212
2014,AUDI,Q5 TDI CLEAN DIESEL,SUV - SMALL,3,7.6,246
2014,AUDI,Q7,SUV - STANDARD,3,10.9,304
2014,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,3,8.4,294
2014,AUDI,R8,TWO-SEATER,4.2,11,336
2014,AUDI,R8,TWO-SEATER,4.2,13.4,407
2014,AUDI,R8,TWO-SEATER,5.2,11.3,354
2014,AUDI,R8,TWO-SEATER,5.2,13.8,409
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,11,336
2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,13.4,407
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,11.3,354
2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,13.8,409
2014,AUDI,RS5,SUBCOMPACT,4.2,10.9,306
2014,AUDI,RS5 CABRIOLET,SUBCOMPACT,4.2,11.3,308
2014,AUDI,RS7,MID-SIZE,4,9.3,290
2014,AUDI,S4,COMPACT,3,9.2,262
2014,AUDI,S4,COMPACT,3,9.8,285
2014,AUDI,S5,SUBCOMPACT,3,9.2,262
2014,AUDI,S5,SUBCOMPACT,3,9.8,285
2014,AUDI,S5 CABRIOLET,SUBCOMPACT,3,9.5,267
2014,AUDI,S6,MID-SIZE,4,9.7,281
2014,AUDI,S7,MID-SIZE,4,9.7,281
2014,AUDI,S8,MID-SIZE,4,9.8,297
2014,AUDI,SQ5,SUV - SMALL,3,10.1,292
2014,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,7.6,209
2014,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,7.6,209
2014,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,8.8,237
2014,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,8.8,237
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,9.8,297
2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,11.5,356
2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4,10.3,320
2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12.2,380
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,10.6,322
2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12.2,380
2014,BENTLEY,FLYING SPUR,MID-SIZE,6,12.2,380
2014,BENTLEY,MULSANNE,MID-SIZE,6.8,14.9,437
2014,BMW,320i,COMPACT,2,6.5,193
2014,BMW,320i,COMPACT,2,6.7,200
2014,BMW,320i xDRIVE,COMPACT,2,7,202
2014,BMW,328d xDRIVE,COMPACT,2,5.5,181
2014,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,5.5,181
2014,BMW,328i,COMPACT,2,6.5,193
2014,BMW,328i,COMPACT,2,6.7,200
2014,BMW,328i xDRIVE,COMPACT,2,7.2,209
2014,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,7.2,209
2014,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,7.2,209
2014,BMW,335i,COMPACT,3,7.3,221
2014,BMW,335i,COMPACT,3,7.9,230
2014,BMW,335i xDRIVE,COMPACT,3,7.8,228
2014,BMW,335i xDRIVE,COMPACT,3,8.3,237
2014,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,8,232
2014,BMW,428i COUPE,COMPACT,2,6.5,193
